BUDGET FISCAL YEAR,FTYP,FUNDTYPE,APPR,APPROPRIATION,Service Number,SERVICE,OBJECTGROUP,EXPENDITURE CLASSIFICATION,CURRENT BUDGET,ENCUMBRANCE,EXPENSES,ENCUMB&EXPENSE
2016,EFOP,Enterprise Operating Fund,0100DWU,Water Utilities DWU,5.54,"Water Planning, Financial and Rate Services",QM,Supplies & Materials,233150,0,96232.42,96232.42
2016,EFOP,Enterprise Operating Fund,0061SDM,Storm Drainage Mgmt Operations,2.19,Flood Control,TR,Transfers Out,242437,0,0,0
2016,GNFD,General Fund,0001STS,Street Services GF,2.4700000000000002,Traffic Operations Maintenance,RC,Capital Outlay,0,0,46500,46500
2016,EFOP,Enterprise Operating Fund,0061SDM,Storm Drainage Mgmt Operations,2.2000000000000002,Floodplain and Drainage Management,RC,Capital Outlay,20000,0,0,0
2016,EFOP,Enterprise Operating Fund,0061SDM,Storm Drainage Mgmt Operations,2.2000000000000002,Floodplain and Drainage Management,RE,Reimbursements,-26000,0,0,0
2016,GNFD,General Fund,0001DFD,Dallas Fire Rescue GF,1.33,Special Operations,PS,Personnel Services,6087462,0,5993018.8,5993018.8
2016,INSV,Internal Service Fund,0199POM,Express Business Center POM,5.G,Disposal of Surplus and Police Unclaimed Property,QM,Supplies & Materials,7862,0,6647.29,6647.29
2016,GNFD,General Fund,0001DPD,Police Department GF,1.29,Police Operational Support,PS,Personnel Services,30159858,0,32323663.49,32323663.49
2016,GNFD,General Fund,0001CTJ,Judiciary GF,1.18,Municipal Judges/Cases Docketed,PS,Personnel Services,1829318,0,1930276.88,1930276.88
2016,EFOP,Enterprise Operating Fund,0100DWU,Water Utilities DWU,2.52,Water Capital Funding,WN,Interest On Notes-Debt Service,25000,0,0,0
2016,INSV,Internal Service Fund,0196EBS,Equipment Services EBS,5.D,City Fleet Asset Management,RC,Capital Outlay,0,0,2376461.56,2376461.56
2017,GNFD,General Fund,0001STS,Street Services GF,2.57,Street Forestry Division,RC,Capital Outlay,180636,0,0,0
2016,INSV,Internal Service Fund,0196EBS,Equipment Services EBS,5.I,Fuel Procurement and Management,RE,Reimbursements,-387231,0,-385874.18,-385874.18
2016,GNFD,General Fund,0001HOU,Housing GF,3.08,Community/Senior Services,PS,Personnel Services,1750037,0,1650238.27,1650238.27
2016,EFOP,Enterprise Operating Fund,0100DWU,Water Utilities DWU,3.24,Wastewater Collection,RE,Reimbursements,-1261642,0,0,0
2016,GNFD,General Fund,0001DPD,Police Department GF,1.27,Police Investigations of Narcotics Related Crimes,RE,Reimbursements,-276000,0,-510601.35,-510601.35
2016,GNFD,General Fund,0001CCO,City Controller's Office GF,5.32,Financial Reporting,RE,Reimbursements,-303260,0,-149712.89,-149712.89
2016,GNFD,General Fund,0001DPD,Police Department GF,1.25,Police Intelligence,QM,Supplies & Materials,60735,0,91854.91,91854.91
2016,GNFD,General Fund,0001ECO,Economic Development GF,2.4,Small Business Initiatives,QM,Supplies & Materials,5911,0,62385.43,62385.43
2017,GNFD,General Fund,0001DFD,Dallas Fire Rescue GF,1.08,"EMS Administration, Contracts, and Community Health",RE,Reimbursements,0,0,-16273.7,-16273.7
2016,EFOP,Enterprise Operating Fund,0100DWU,Water Utilities DWU,5.26,DWU General Expense,PS,Personnel Services,799285,0,799285,799285
2016,EFOP,Enterprise Operating Fund,0061SDM,Storm Drainage Mgmt Operations,2.19,Flood Control,PS,Personnel Services,8872619,0,6404435.3,6404435.3
2016,GNFD,General Fund,0001PBW,Public Works GF,2.0499999999999998,Capital and Implementation Program,PS,Personnel Services,5433897,0,4756412.24,4756412.24
2016,GNFD,General Fund,0001ECO,Economic Development GF,2.14,Economic Development Research and Information Services,QV,Contractual & Other Services,148040,0,167355.42,167355.42
2016,EFOP,Enterprise Operating Fund,0150DEV,Sustainable Dev and Construction - Enterprise,2.08,Construction Plan Review and Permitting,PS,Personnel Services,6935604,0,6652571.56,6652571.56
2016,OTHO,Other Operating Fund,0195ORM,Office of Risk Management,5.P,Risk Management Services,PS,Personnel Services,2278539,0,2040789.56,2040789.56
2016,EFOP,Enterprise Operating Fund,0100DWU,Water Utilities DWU,9.99,Department Support,RE,Reimbursements,-3625571,0,-3535767.47,-3535767.47
2016,GNFD,General Fund,0001DFD,Dallas Fire Rescue GF,1.0900000000000001,Fire and Rescue Emergency Response,QM,Supplies & Materials,4372150,0,6738706.99,6738706.99
2016,GNFD,General Fund,0001DPD,Police Department GF,1.24,Police Field Patrol,PS,Personnel Services,240619777,0,236879984.34,236879984.34
2017,INSV,Internal Service Fund,0198DSV,Information Technology DSV,5.L,Internal Desktop Support,PS,Personnel Services,365094,0,36413.08,36413.08
2016,GNFD,General Fund,0001ECO,Economic Development GF,2.11,Dallas Film Commission,QV,Contractual & Other Services,152531,0,108321.21,108321.21
2017,EFOP,Enterprise Operating Fund,0100DWU,Water Utilities DWU,5.53,Vital Statistics,RE,Reimbursements,-972659,0,-127848.33,-127848.33
2016,EFOP,Enterprise Operating Fund,0440SAN,Sanitation Operating Fund,3.05,City Facility Services,QV,Contractual & Other Services,623135,0,657900.32,657900.32
2016,EFOP,Enterprise Operating Fund,0150DEV,Sustainable Dev and Construction - Enterprise,2.08,Construction Plan Review and Permitting,RC,Capital Outlay,175000,0,0,0
2016,GNFD,General Fund,0001CTS,Court and Detention Services GF,1.06,Dallas City Marshal,QV,Contractual & Other Services,184045,266.39999999999998,132913.85,133180.25
2016,GNFD,General Fund,0001DPD,Police Department GF,9.99,Department Support,QV,Contractual & Other Services,159568,0,630349.09,630349.09
2016,GNFD,General Fund,0001PBW,Public Works GF,3.23,Underground Storage Tank Replacement and Inspection,QM,Supplies & Materials,0,0,7651.51,7651.51
2016,GNFD,General Fund,0001DFD,Dallas Fire Rescue GF,1.08,"EMS Administration, Contracts, and Community Health",QM,Supplies & Materials,289024,9109.86,381364.69,390474.55
2016,EFOP,Enterprise Operating Fund,0150DEV,Sustainable Dev and Construction - Enterprise,2.34,Private Development Survey,QM,Supplies & Materials,6535,0,0,0
2016,EFOP,Enterprise Operating Fund,0100DWU,Water Utilities DWU,2.54,Water Utilities Capital Program Management,QM,Supplies & Materials,312641,0,180714.67,180714.67
2016,EFOP,Enterprise Operating Fund,0440SAN,Sanitation Operating Fund,3.16,Landfill Services,QM,Supplies & Materials,2383484,0,2097077.95,2097077.95
2016,GNFD,General Fund,0001STS,Street Services GF,2.48,Traffic Safety and Congestion Management,QM,Supplies & Materials,235945,0,243498.89,243498.89
2017,GNFD,General Fund,0001STS,Street Services GF,5.43,Land Surveying Services,PS,Personnel Services,756717,0,283498.28,283498.28
2016,GNFD,General Fund,0001EAD,Mgmt Services - Ethics and Diversity,5.3,Ethics and Diversity,QV,Contractual & Other Services,40094,0,54748.76,54748.76
2016,GNFD,General Fund,0001DFD,Dallas Fire Rescue GF,1.33,Special Operations,RC,Capital Outlay,0,0,44929.77,44929.77
2016,EFOP,Enterprise Operating Fund,0100DWU,Water Utilities DWU,3.25,Wastewater Treatment,PS,Personnel Services,17658126,0,18538857.57,18538857.57
2016,INSV,Internal Service Fund,0196EBS,Equipment Services EBS,5.H,Environmental Services for City Fleet Operations,RE,Reimbursements,-1243962,0,-438358.82,-438358.82
2016,GNFD,General Fund,0001DPD,Police Department GF,1.23,Police Criminal Investigations,PS,Personnel Services,52680999,0,57060675.25,57060675.25
2016,GNFD,General Fund,0001STS,Street Services GF,2.38,Rights-of-Way Maintenance Contracts and Inspections Group,QM,Supplies & Materials,69416,0,56740.97,56740.97
